Date,Open,High,Low,Close,Volume,Market Cap
"Jun 21, 2016",0.289209,0.292218,0.217718,0.230596,626728,28920900
"Jun 22, 2016",0.230252,0.234911,0.176512,0.188528,878411,23025200
"Jun 23, 2016",0.191379,0.205271,0.172964,0.199471,530030,19137900
"Jun 24, 2016",0.199983,0.218997,0.180431,0.195036,715427,19998300
"Jun 25, 2016",0.193498,0.243791,0.189895,0.201881,412951,19349800
"Jun 26, 2016",0.204783,0.205153,0.150026,0.165977,328673,20478300
"Jun 27, 2016",0.170007,0.178653,0.157636,0.175187,169379,17000700
"Jun 28, 2016",0.1741,0.178462,0.142232,0.145641,228770,17410000
"Jun 29, 2016",0.146568,0.16607,0.139438,0.145139,234893,14656800
"Jun 30, 2016",0.143232,0.159229,0.135652,0.139444,311148,14323200
"Jul 01, 2016",0.139274,0.151516,0.130633,0.144888,233053,13927400
"Jul 02, 2016",0.144975,0.201825,0.138431,0.180402,261410,14497500
"Jul 03, 2016",0.180746,0.208869,0.161257,0.192793,334447,18074600
"Jul 04, 2016",0.192834,0.220483,0.189336,0.22048,301807,19283400
"Jul 05, 2016",0.225309,0.226514,0.20258,0.220016,225635,22530900
"Jul 06, 2016",0.21995,0.239176,0.20964,0.228037,218669,21995000
"Jul 07, 2016",0.228292,0.235936,0.215656,0.229901,268443,22829200
"Jul 08, 2016",0.233187,0.235791,0.175018,0.193728,203189,23318700
"Jul 09, 2016",0.193691,0.22898,0.190734,0.221057,106202,19369100
"Jul 10, 2016",0.224557,0.224557,0.203794,0.218331,88774,22455700
"Jul 11, 2016",0.218048,0.219266,0.207751,0.216697,88437,21804800
"Jul 12, 2016",0.216897,0.216977,0.197032,0.199753,136972,21689700
"Jul 13, 2016",0.199736,0.211846,0.193641,0.193641,103542,19973600
"Jul 14, 2016",0.193206,0.20317,0.181674,0.196309,154375,19320600
"Jul 15, 2016",0.196625,0.210447,0.188917,0.204921,115159,19662500
"Jul 16, 2016",0.205082,0.208358,0.191542,0.193542,36851,20508200
"Jul 17, 2016",0.193859,0.200658,0.189954,0.197031,60718,19385900
"Jul 18, 2016",0.197136,0.226103,0.195839,0.217987,132592,19713600
"Jul 19, 2016",0.224835,0.229331,0.201258,0.209255,168579,22483500
"Jul 20, 2016",0.209238,0.219466,0.207859,0.211235,70378,20923800
"Jul 21, 2016",0.211095,0.218892,0.203207,0.206353,93206,21109500
"Jul 22, 2016",0.206324,0.214123,0.19099,0.191196,102240,20632400
"Jul 23, 2016",0.191232,0.207658,0.191004,0.201458,48054,19123200
"Jul 24, 2016",0.201416,0.207514,0.192366,0.202169,136512,20141600
"Jul 25, 2016",0.20216,0.211934,0.193596,0.201996,115927,20216000
"Jul 26, 2016",0.202035,0.206354,0.171409,0.173442,199906,20203500
"Jul 27, 2016",0.173306,0.201714,0.160178,0.18213,211513,17330600
"Jul 28, 2016",0.182168,0.195806,0.170355,0.176222,79472,18216800
"Jul 29, 2016",0.176242,0.195024,0.174127,0.191743,52603,17624200
"Jul 30, 2016",0.191747,0.194696,0.183855,0.185351,30568,19174700
"Jul 31, 2016",0.185366,0.186617,0.170575,0.170575,66910,18536600
"Aug 01, 2016",0.172161,0.175615,0.158018,0.158018,79352,17216100
"Aug 02, 2016",0.164905,0.171309,0.122684,0.127242,197250,16490500
"Aug 03, 2016",0.127527,0.159344,0.126624,0.142479,106321,12752700
"Aug 04, 2016",0.144583,0.161843,0.142541,0.151644,78311,14458300
"Aug 05, 2016",0.156632,0.167165,0.150382,0.16482,87961,15663200
"Aug 06, 2016",0.16482,0.172879,0.157423,0.172755,52232,16482000
"Aug 07, 2016",0.172757,0.172757,0.157919,0.160934,51728,17275700
"Aug 08, 2016",0.160835,0.181447,0.156651,0.175236,85297,16083500
"Aug 09, 2016",0.17726,0.17726,0.167421,0.172701,39850,17726000
"Aug 10, 2016",0.173429,0.192979,0.171355,0.189038,115904,17342900
"Aug 11, 2016",0.189045,0.196519,0.178034,0.181023,112529,18904500
"Aug 12, 2016",0.180932,0.188774,0.166554,0.182949,148755,18093200
"Aug 13, 2016",0.182932,0.185391,0.170997,0.175204,109816,18293200
"Aug 14, 2016",0.177615,0.183916,0.167834,0.17343,115312,17761500
"Aug 15, 2016",0.173431,0.177611,0.168769,0.173786,59199,17343100
"Aug 16, 2016",0.173823,0.180306,0.171163,0.17457,66316,17382300
"Aug 17, 2016",0.174594,0.182404,0.171833,0.177487,82779,17459400
"Aug 18, 2016",0.177636,0.18091,0.173157,0.17527,54480,17763600
"Aug 19, 2016",0.175314,0.17989,0.172553,0.178273,33598,17531400
"Aug 20, 2016",0.178402,0.179949,0.173975,0.179004,23310,17840200
"Aug 21, 2016",0.178998,0.179812,0.167525,0.174425,83163,17899800
"Aug 22, 2016",0.174438,0.181184,0.172688,0.178477,67344,17443800
